concept_id,concept_code,concept_name,vocabulary_id,ingredient
40825545,OMOP2023507,Naloxone 4 MG / Tilidine 50 MG Oral Capsule [Valoron N] Box of 100,RxNorm Extension,tilidine
40828374,OMOP2026336,Naloxone 8 MG / Tilidine 100 MG [Tilidin Ratiopharm],RxNorm Extension,tilidine
40828375,OMOP2026337,Naloxone 8 MG / Tilidine 100 MG [Tilidin N Sandoz],RxNorm Extension,tilidine
40828376,OMOP2026338,Naloxone 4 MG / Tilidine 50 MG [Tilidin N Sandoz],RxNorm Extension,tilidine
40828377,OMOP2026339,Naloxone 6.08 MG/ML / Tilidine 71.2 MG/ML [Tilidin Abz],RxNorm Extension,tilidine
40828378,OMOP2026340,Naloxone 6.08 MG/ML / Tilidine 71.2 MG/ML [Tili Puren],RxNorm Extension,tilidine
40828379,OMOP2026341,Naloxone 6.11 MG/ML / Tilidine 71.5 MG/ML [Gruntin],RxNorm Extension,tilidine
40831792,OMOP2029754,Naloxone / Tilidine Extended Release Oral Tablet [Tilnalox Ct],RxNorm Extension,tilidine
40831793,OMOP2029755,Naloxone / Tilidine Extended Release Oral Tablet [Tilidin 1a Pharma],RxNorm Extension,tilidine
40831794,OMOP2029756,Naloxone / Tilidine Oral Tablet [Celldolor],RxNorm Extension,tilidine
40835062,OMOP2033024,Naloxone 8 MG / Tilidine 120 MG Oral Tablet Box of 20,RxNorm Extension,tilidine
40835063,OMOP2033025,Naloxone 4 MG / Tilidine 50 MG Oral Capsule Box of 20,RxNorm Extension,tilidine
40835064,OMOP2033026,Naloxone 4 MG / Tilidine 59.9 MG Oral Tablet Box of 100,RxNorm Extension,tilidine
40835066,OMOP2033028,Naloxone 12 MG / Tilidine 150 MG Oral Tablet,RxNorm Extension,tilidine
40842911,OMOP2040873,Naloxone 8 MG / Tilidine 100 MG Oral Tablet [Tilnalox Ct],RxNorm Extension,tilidine
40842912,OMOP2040874,Naloxone 8 MG / Tilidine 100 MG Oral Tablet [Tilidin N Dura],RxNorm Extension,tilidine
40842913,OMOP2040875,Naloxone 8 MG / Tilidine 100 MG Oral Tablet [Tilidin Hexal],RxNorm Extension,tilidine
40842914,OMOP2040876,Naloxone 8 MG / Tilidine 100 MG Extended Release Oral Tablet [Celldolor] Box of 100,RxNorm Extension,tilidine
40842915,OMOP2040877,Naloxone 4 MG / Tilidine 50 MG Oral Tablet [Tilidin N Dura] Box of 50,RxNorm Extension,tilidine
40842916,OMOP2040878,Naloxone 4 MG / Tilidine 50 MG Oral Tablet [Tilidin 1a Pharma],RxNorm Extension,tilidine
40842917,OMOP2040879,Naloxone 4 MG / Tilidine 50 MG Oral Tablet [Celldolor] Box of 100,RxNorm Extension,tilidine
40842918,OMOP2040880,Naloxone 4 MG / Tilidine 50 MG Oral Capsule [Valoron N] Box of 30,RxNorm Extension,tilidine
